strain,angular_velocity_head_tip_w_backward_IQR_medianDiff_all,angular_velocity_head_tip_w_backward_abs_10th_medianDiff_all,angular_velocity_head_tip_w_backward_abs_50th_medianDiff_all,d_angular_velocity_head_tip_w_backward_10th_medianDiff_all,d_angular_velocity_head_tip_w_backward_90th_medianDiff_all,d_angular_velocity_head_tip_w_backward_IQR_medianDiff_all,d_angular_velocity_head_tip_w_backward_abs_10th_medianDiff_all,d_angular_velocity_head_tip_w_backward_abs_50th_medianDiff_all,d_relative_to_head_base_angular_velocity_head_tip__medianDiff_all,d_relative_to_head_base_radial_velocity_head_tip_w_medianDiff_all,d_relative_to_neck_radial_velocity_head_tip_w_back_medianDiff_all,relative_to_body_radial_velocity_hips_w_backward_5_medianDiff_all,relative_to_body_radial_velocity_neck_w_forward_50_medianDiff_all,relative_to_head_base_angular_velocity_head_tip_w__medianDiff_all,relative_to_head_base_radial_velocity_head_tip_w_b_medianDiff_all,relative_to_neck_radial_velocity_head_tip_w_backwa_medianDiff_all
JU2526,-0.69124,-0.04436,-0.3148,1.0363,-1.7322,-2.2848,-0.18238,-1.1497,-0.85669,-9.5592,7.8988,0.98331,0.49221,-0.23514,-1.9925,0.61855
JU2534,-0.1634,-0.021035,-0.085622,0.92915,-0.59161,-0.88602,-0.14366,-0.4481,-0.52193,-8.0472,3.0636,0.32089,0.15302,-0.095191,-1.4929,0.7947
JU2565,-0.1521,-0.0042582,-0.075184,0.51156,-0.79646,-0.76258,-0.05214,-0.37178,-0.42138,0.090771,4.819,0.20799,0.033676,-0.035905,0.015334,0.43268
JU2566,-0.25497,-0.032696,-0.12487,0.53899,-0.81762,-0.91461,-0.11794,-0.46525,-0.98828,-6.2973,1.6739,0.87725,0.20564,-0.16588,-1.3091,0.63612
JU2578,-0.37356,-0.021515,-0.18755,0.85191,-0.73316,-1.1287,-0.12029,-0.56752,-0.58444,-3.2903,7.829,0.34254,0.21673,-0.084374,-0.47128,1.7147
JU258,-0.25962,-0.032551,-0.12809,0.81971,-0.97854,-1.2638,-0.12726,-0.63025,-0.66944,-4.6871,7.5665,0.51333,0.15659,-0.11111,-0.80958,1.4529
JU2587,-0.099795,-0.026492,-0.051407,0.30184,0.0016098,-0.53017,-0.1116,-0.26855,-0.19743,-3.6302,1.3135,0.52526,0.40041,0.0013585,-0.67539,0.63396
JU2593,-0.11789,-0.0066904,-0.06117,0.10771,-0.069777,-0.43149,-0.09201,-0.222,-0.52511,-7.7071,2.1167,0.76614,0.51596,-0.099417,-1.4386,1.4312
JU2600,-0.3194,-0.033109,-0.1633,0.72976,-0.92468,-1.656,-0.16949,-0.81785,-0.54963,-2.5919,1.8484,1.1293,0.011835,-0.13472,-0.80652,1.3501
JU2800,-0.32883,-0.029417,-0.164,1.2664,-1.2087,-1.539,-0.14046,-0.7645,-0.57095,-11.2306,8.4023,0.30723,0.036297,-0.097127,-2.0096,1.4136
JU2862,-0.58585,-0.072905,-0.29341,1.5963,-1.6466,-2.6844,-0.26088,-1.3394,-0.68068,-6.9622,10.7046,0.22344,0.24502,-0.18868,-1.3966,1.7656
JU2866,-0.2877,-0.023252,-0.14344,1.7887,-2.2144,-2.1108,-0.2102,-1.0521,-0.62835,-5.8764,4.1946,0.93902,0.047872,-0.11301,-1.2725,1.0261
JU2878,-0.44706,-0.046532,-0.21943,0.83281,-0.70789,-1.4802,-0.14341,-0.73811,-0.41223,-3.8613,12.5196,0.35171,0.32775,-0.10322,-1.0079,1.2398
JU2879,-0.40234,-0.045845,-0.18347,1.3437,-1.1924,-1.3638,-0.090087,-0.6939,-0.55097,-7.1237,6.4659,1.2626,0.31607,-0.16778,-1.4663,1.45
JU2906,-0.20413,-0.027344,-0.10317,-0.74,0.83468,0.034479,-0.03458,0.0057969,0.13555,-2.7177,6.683,-0.2097,0.21254,0.023631,-0.82301,1.2514
JU310,-0.058189,-0.0047664,-0.017281,-0.15766,0.076087,-0.17215,-0.029092,-0.0932,-0.13542,-3.0076,0.57143,0.71557,0.30891,0.0098933,-0.14027,-0.11181
JU311,-0.21065,-0.030983,-0.10557,0.63039,-0.73771,-1.2342,-0.13438,-0.61737,-0.52862,-7.4606,2.4465,0.89051,0.28359,-0.1016,-1.6006,0.79468
JU3125,-0.038118,-0.012963,-0.019648,0.011081,-0.36335,-0.63535,-0.066216,-0.31152,-0.18233,-1.217,-1.1003,0.58272,0.28923,-0.0010152,-0.53664,0.16603
JU3127,-0.072884,-0.014721,-0.036176,0.46481,-0.61097,-0.79064,-0.10268,-0.39961,-0.41281,-3.5874,0.81177,0.63111,0.73688,-0.023497,-0.69291,0.14209
JU3134,-0.2551,-0.032921,-0.11923,1.3328,-1.1804,-1.7524,-0.21961,-0.87213,-0.73582,-8.3501,3.8115,0.67971,0.26397,-0.11506,-1.5008,0.72771
JU3135,-0.55417,-0.046422,-0.27579,1.5267,-0.72454,-1.6758,-0.14224,-0.8342,-0.63183,-3.0371,9.688,0.41397,-0.079452,-0.17038,-0.51472,0.68431
JU3137,-0.39228,-0.024629,-0.18982,1.0591,-1.1147,-1.2943,-0.11222,-0.67406,-0.56415,-5.1788,3.4488,-0.011487,0.15084,-0.098074,-0.8181,0.43154
