strain,blob_box_width_90th_medianDiff_all,blob_box_width_IQR_medianDiff_all,blob_box_width_w_forward_IQR_medianDiff_all,blob_box_width_w_paused_10th_medianDiff_all,blob_box_width_w_paused_50th_medianDiff_all,blob_box_width_w_paused_90th_medianDiff_all,blob_box_width_w_paused_IQR_medianDiff_all,d_blob_box_width_10th_medianDiff_all,d_blob_box_width_90th_medianDiff_all,d_blob_box_width_IQR_medianDiff_all,d_blob_box_width_w_forward_10th_medianDiff_all,d_blob_box_width_w_forward_IQR_medianDiff_all,d_blob_box_width_w_paused_10th_medianDiff_all,d_blob_box_width_w_paused_90th_medianDiff_all,d_blob_box_width_w_paused_IQR_medianDiff_all,d_width_head_base_w_backward_50th_medianDiff_all,d_width_head_base_w_backward_90th_medianDiff_all
JU2578,286.3364,39.8923,-0.8279,-0.00177,134.3503,340.7556,215.5879,-1.2311,1.2444,-0.91407,0.35947,-1.3017,-19.67,14.0826,4.7379,-1.3495,0.71427
JU258,89.7592,21.0494,7.8572,28.7504,143.4511,297.7361,160.8587,-7.7145,8.2904,4.8824,-5.2577,4.2281,-39.5589,46.1244,22.1883,-0.19245,-2.4034
JU2587,239.8851,53.7506,3.8123,60.9279,177.68,348.0309,185.1138,-9.7489,10.6064,7.9317,-7.4018,7.2669,-18.4833,19.9106,16.0595,-0.38405,-2.4852
JU2593,222.1571,29.9615,-1.4697,79.3597,250.1052,427.7194,270.3172,-12.039,12.7037,9.3029,-8.0839,5.89,-36.8781,38.2875,27.4382,-0.45425,-1.6691
JU2600,70.9755,15.8776,4.0397,38.9021,128.9451,212.564,123.223,-4.9803,8.2163,5.2686,-3.2163,2.7566,-31.311,35.4739,19.3988,-0.33634,-1.6277
JU2800,214.6447,30.5845,6.7845,49.5853,173.0624,277.412,177.68,-13.0486,13.3827,10.012,-10.1068,7.237,-38.1918,37.576,22.9843,-1.1257,-2.8789
JU2862,123.4138,18.5782,5.9225,28.3083,210.7176,369.3932,211.7522,-4.5245,5.2721,3.8197,-1.73,1.7714,-26.4164,22.8506,12.4721,-1.1105,-4.0031
JU2866,80.4436,9.2071,4.4482,50.6024,197.9407,357.6927,170.0695,-9.2032,11.447,4.8603,-6.2432,3.3055,-32.2604,35.1506,24.4988,-0.92256,-1.8567
JU2878,129.4612,27.0743,6.8987,27.0929,150.8519,264.3745,191.57,-6.7986,7.3589,5.3181,-3.512,3.1345,-22.9521,21.7367,13.6063,-0.37654,-4.0599
JU2879,96.5907,19.1145,7.6362,31.7656,141.9684,355.7793,292.2663,-10.197,14.9932,8.383,-6.4223,6.9464,-29.4315,42.3317,19.2908,-0.63971,-1.866
JU2906,54.0818,8.7429,1.902,-7.5858,156.6297,411.6346,271.9306,-2.7853,4.9851,3.2042,-2.6342,3.5685,-23.1852,21.7107,6.9955,-0.98229,-1.153
JU310,193.8732,31.6525,1.2521,39.1321,140.1561,289.9501,150.2472,-6.3826,7.5233,4.2875,-6.1966,3.8867,-18.3668,21.3465,15.3861,-0.17538,0.36598
JU311,137.5166,19.4124,7.9579,22.0266,166.0582,396.9521,225.8528,-12.9099,18.3695,10.1813,-8.1631,6.4451,-40.975,45.2959,25.0201,-0.55024,-3.5135
JU3125,75.5306,16.7279,6.9502,50.141,218.6627,495.5041,284.8917,-12.7076,16.8657,9.7898,-7.1784,5.1105,-63.7152,66.2045,39.1967,-0.048113,-0.94604
JU3127,90.5882,15.7728,3.4501,7.2969,128.0417,222.006,203.1803,-6.3844,9.9978,7.7302,-3.8651,5.5529,-37.0187,32.9287,21.5123,-0.51986,-1.8192
JU3134,124.4697,28.0294,3.056,34.9214,219.0618,418.411,239.6053,-10.8968,10.9965,6.792,-6.8052,4.5543,-35.3887,37.3661,21.1182,-0.9882,-3.1006
JU3135,220.1156,46.2202,7.7694,50.2879,229.4678,283.4006,164.5493,-6.9819,4.5443,6.3897,-3.2747,5.6147,-31.7419,38.4488,24.0915,-0.42718,-2.0747
JU3137,147.3573,26.2572,8.4648,29.4606,188.6153,359.5071,230.6947,-6.3074,6.556,5.273,-4.1981,2.977,-31.0281,23.3168,21.1167,-0.80857,-3.2465
JU3140,198.5527,26.1966,5.1872,37.6496,184.7336,273.9275,173.0003,-9.1335,11.9774,9.1533,-7.9867,9.998,-29.123,31.0883,18.2817,-0.13013,-4.5713
JU323,150.0953,34.1048,7.4911,49.9253,178.911,300.6764,202.2111,-9.427,11.9552,6.3813,-6.4486,4.3006,-33.143,34.7602,20.5074,-0.42071,-2.8889
