strain,blob_box_length_IQR_medianDiff_all,blob_box_length_w_paused_90th_medianDiff_all,blob_box_length_w_paused_IQR_medianDiff_all,d_blob_box_length_10th_medianDiff_all,d_blob_box_length_90th_medianDiff_all,d_length_w_backward_10th_medianDiff_all,d_length_w_backward_50th_medianDiff_all,d_length_w_backward_IQR_medianDiff_all,length_norm_10th_medianDiff_all,length_norm_90th_medianDiff_all,length_norm_IQR_medianDiff_all
JU3140,20.3063,358.7513,142.1618,-10.7782,15.6588,8.7798,1.0001,-5.2491,0.0088264,-0.0059478,-0.0080141
JU323,50.8362,243.52,41.788,-14.7478,15.5491,2.4104,0.62871,-1.9563,0.010225,-0.0066578,-0.0097215
JU346,40.5364,187.8431,76.2657,-17.3897,18.3432,6.4234,0.55614,-4.74,0.0094194,-0.005872,-0.010845
JU360,5.7859,245.3,9.4514,-14.3849,15.5713,17.0724,3.0354,-11.0701,0.012573,-0.0031772,-0.0080307
JU367,55.5777,188.9003,124.3559,-14.8191,14.7727,9.1974,0.47693,-6.1913,0.015565,-0.010434,-0.016935
JU393,24.6899,234.4947,91.8278,-3.1693,4.9045,11.1714,1.3204,-6.0393,0.0027394,-0.00043309,-0.0029016
JU394,43.5497,52.5168,12.7606,-3.4382,6.607,3.6725,0.92697,-3.393,0.0057414,-0.0051079,-0.0095906
JU397,17.5747,264.0499,63.7042,-11.2057,13.4849,3.5503,2.4789,-2.675,0.0018045,-0.0010751,-0.0022279
JU406,11.8571,353.7199,124.4275,-10.0726,8.9973,6.0788,1.3684,-4.1685,0.0087732,-0.0054493,-0.0084879
JU440,-0.023155,420.1918,58.8345,-16.5149,16.5652,19.1524,2.2082,-11.443,0.015261,-0.0035625,-0.0085758
JU561,19.7652,241.4761,165.9918,-16.9115,17.4532,5.82,1.6217,-2.0273,0.0049174,-0.002975,-0.005637
JU642,40.305,349.2305,42.1987,-11.0839,12.2544,7.0836,0.6793,-4.6511,0.0051526,-0.0024921,-0.0040751
JU751,50.6797,182.8811,40.8538,9.3976,-4.9119,7.1762,1.6256,-3.7263,0.0067477,-0.0044041,-0.0048072
JU774,25.9722,495.0578,110.1488,-16.4622,14.0454,10.7539,1.5948,-5.8655,0.0093651,-0.0031828,-0.0067199
JU775,-18.5827,266.4398,109.9986,-9.1247,9.4971,21.9408,1.5622,-13.78,0.014466,-0.0082607,-0.012745
JU778,20.4796,91.8491,88.2691,-16.1662,16.5574,5.0461,1.1469,-4.1281,0.0076875,-0.0024801,-0.0047905
JU782,40.2726,527.0186,130.496,-9.4631,9.518,2.9356,1.821,-2.4316,0.010324,-0.0074371,-0.01096
JU792,36.431,473.3105,109.6898,-20.7597,21.3454,1.4698,1.5207,-2.937,0.010738,-0.0056075,-0.0082686
JU830,41.7772,481.5985,222.0739,-6.285,8.3896,5.0032,1.0539,-3.7074,0.0094868,-0.0041051,-0.0077575
JU847,-3.3572,351.7719,180.4518,-10.8792,13.3205,3.7008,0.78124,-2.7182,0.0051065,-0.0021911,-0.0056372
KR314,-13.2551,381.2007,222.2844,-16.3703,16.723,4.1797,0.29755,-3.2994,0.0095345,-0.0071093,-0.010914
