strain,d_dist_from_food_edge_IQR_medianDiff_all,d_dist_from_food_edge_norm_IQR_medianDiff_all,d_dist_from_food_edge_w_backward_10th_medianDiff_all,d_dist_from_food_edge_w_forward_IQR_medianDiff_all,dist_from_food_edge_IQR_medianDiff_all,dist_from_food_edge_norm_IQR_medianDiff_all,dist_from_food_edge_w_backward_90th_medianDiff_all,dist_from_food_edge_w_backward_IQR_medianDiff_all,dist_from_food_edge_w_forward_50th_medianDiff_all,dist_from_food_edge_w_forward_IQR_medianDiff_all,food_region_edge_duration_50th_medianDiff_all,food_region_edge_frequency_medianDiff_all,food_region_inside_duration_50th_medianDiff_all,food_region_inside_frequency_medianDiff_all,food_region_outside_duration_50th_medianDiff_all,orientation_food_edge_in_edge_10th_medianDiff_all,orientation_food_edge_in_edge_IQR_medianDiff_all,orientation_food_edge_w_backward_90th_medianDiff_all,orientation_food_edge_w_backward_IQR_medianDiff_all,orientation_food_edge_w_forward_10th_medianDiff_all,orientation_food_edge_w_forward_90th_medianDiff_all,orientation_food_edge_w_forward_IQR_medianDiff_all,orientation_food_edge_w_paused_10th_medianDiff_all
EG4724,12.4547,0.014316,-20.0917,12.2623,651.667,0.63819,299.5142,742.7492,439.8501,627.248,-19.96,0.013522,-36.02,0.0054585,-8.24,1.636,7.2694,0.25109,-0.49715,-2.9985,6.4531,11.4102,-5.6879
EG4725,28.8348,0.040719,-16.0429,27.9637,663.1257,0.84082,799.5833,414.2223,389.6127,563.1481,-6.82,0.013362,-40.04,0.006606,-5.88,-12.8836,18.6232,4.4447,16.2935,-5.3464,0.7881,18.7982,-28.5303
EG4946,47.5114,0.052065,-59.8383,39.2671,326.335,0.37682,968.9889,858.801,314.1457,398.5057,-7.62,0.0088051,-31.5,0.0070084,-11.18,-5.2333,25.6068,19.8405,24.6913,-5.4236,8.698,23.0152,-0.79707
GXW1,18.2562,0.015091,-38.0186,17.1172,1486.3459,1.7176,2731.541,1726.4784,793.5546,1503.0958,-9.26,0.010113,-33.5,0.0066188,-15.52,-20.4939,26.7647,12.553,36.4509,-7.9792,6.7546,28.1998,-37.3427
JT11398,17.1602,0.021583,-31.7543,20.3563,697.7685,0.89323,2048.8824,1359.2167,697.0821,611.2462,-7.58,0.010268,-30.1,0.0087698,-4.58,-9.002,14.0692,14.5839,13.2347,-4.4971,2.1429,16.6059,-41.538
JU1088,24.0212,0.032091,-17.7802,27.0322,857.8003,1.186,1362.9602,1096.7211,720.2505,810.5784,-11.2,0.02018,-38.14,0.013542,-14.98,-6.431,15.6798,10.9413,22.7472,-9.1343,3.6291,18.4754,4.7045
JU1172,15.7128,0.013538,-50.0172,12.4934,584.6205,0.67626,2372.0531,1483.6217,244.299,421.0112,-11.7,0.0094385,-33.8,0.014531,-12.8,-17.0656,20.3921,11.0549,26.1323,-8.3558,2.6093,14.1717,-39.9942
JU1200,28.6383,0.049201,-22.2847,31.2374,168.343,0.1521,-1302.3391,262.5412,333.3617,215.7954,-11.16,0.013628,-41.52,0.0068078,-7.28,-8.4669,16.2779,-2.7475,11.4968,-3.6557,4.458,13.834,0.35669
JU1212,37.3183,0.040122,-39.7517,40.824,734.9359,0.78052,1366.5161,693.5564,265.2293,566.9828,-12.44,0.0096378,-33.24,0.0063321,-2.84,-13.7167,22.9342,28.9029,24.388,-8.6081,8.3944,24.3003,-41.1638
JU1213,40.5421,0.043312,-40.6772,42.0987,552.7281,0.50194,1156.4713,911.2993,606.9473,575.3098,-11.52,0.018402,-36.78,0.011738,-8.04,-17.7208,24.9677,19.8412,21.1892,-6.2398,6.7626,26.5564,-41.7537
